restaurant_id,restaurant_name,address,city,rolls_below_ten,sushi_happy_hour
1,Sushi Neko,4318 N Western Ave,Oklahoma city,34,no
2,Sushi Moto,432 NW 10th St,Oklahoma city,21,no
3,The Sushi Bar,6432 W Memorial Rd,Oklahoma city,3,no
4,Yuzo Sushi Tapas,808 N Broadway Ave,Oklahoma city,4,no
5,Jiro Sushi,1101 NW 23rd St,Oklahoma city,8,yes
6,Volcano Sushi and Hibachi (Penn Park/Memorial),1609 Penn Park Blvd #10,Oklahoma city,18,no
8,Park Harvey Sushi,200 N Harvey Ave #100,Oklahoma city,10,no
9,Samurai Sushi,1630 NW 23rd St ste a,Oklahoma city,32,no
10,Yokozuna OKC,13230 Pawnee Dr #100,Oklahoma city,17,yes
11,Ocean 81 Sushi Bar,7508 N May Ave,Oklahoma city,0,no
12,Roll and Rock Sushi Station,6227 N Meridian Ave,Oklahoma city,28,no
13,Masa Ramen and Sushi,1001 W Memorial Rd Ste 104,Oklahoma city,42,no
14,Saii Asian Bistro and Sushi Bar,6900 N May Ave,Oklahoma city,2,no
15,Ichiban Sushi Bar and Poke,6308 SW 3rd St,Oklahoma city,28,no
16,Nhinja Sushi (May),13905 N May Ave,Oklahoma city,18,no
17,Inaka Sushi and Bar,9321 N Pennsylvania Ave,Oklahoma city,25,no
18,Saki Sushi Bar,13520 N Eastern Ave Suite B,Oklahoma city,11,yes
19,Mizu Ramen  Sushi,12124 N Pennsylvania Oklahoma City,Oklahoma city,25,no
20,Tokyo Moon (OKC),7001 W Hefner Rd #4712,Oklahoma city,3,no
